Taxa,Population
PI340049,R.SK
PI340053A,R.SK
PI340053B,R.SK
PI361101,R.SK
PI372415B,R.SK
PI398181,R.SK
PI398182,R.SK
PI398185,R.SK
PI398188,R.SK
PI398190,R.SK
PI398197,R.SK
PI398199,R.SK
PI398200,R.SK
PI398201,R.SK
PI398202,R.SK
PI398204,R.SK
PI398205,R.SK
PI398208,R.SK
PI398211,R.SK
PI398222,R.SK
PI398223,R.SK
PI398224,R.SK
PI398225,R.SK
PI398226,R.SK
PI398227,R.SK
PI398230,R.SK
PI398231,R.SK
PI398232,R.SK
PI398233,R.SK
PI398236,R.SK
PI398237,R.SK
PI398244,R.SK
PI398247,R.SK
PI398250,R.SK
PI398251,R.SK
PI398256,R.SK
PI398257,R.SK
PI398260,R.SK
PI398265,R.SK
PI398268,R.SK
PI398270,R.SK
PI398271,R.SK
PI398273,R.SK
PI398274,R.SK
PI398278,R.SK
PI398282,R.SK
PI398283,R.SK
PI398290,R.SK
PI398291,R.SK
PI398293,R.SK
PI398294,R.SK
PI398297,R.SK
PI398300,R.SK
PI398305,R.SK
PI398306,R.SK
PI398310,R.SK
PI398312,R.SK
PI398313,R.SK
PI398314,R.SK
PI398315,R.SK
PI398319,R.SK
PI398320,R.SK
PI398321,R.SK
PI398322,R.SK
PI398325,R.SK
PI398326,R.SK
PI398327,R.SK
PI398349,R.SK
PI398355,R.SK
PI398356,R.SK
PI398357,R.SK
PI398360,R.SK
PI398367,R.SK
PI398374,R.SK
PI398379,R.SK
PI398380,R.SK
PI398383,R.SK
PI398384,R.SK
PI398385,R.SK
PI398386,R.SK
PI398392,R.SK
PI398394,R.SK
PI398395,R.SK
PI398396,R.SK
PI398398,R.SK
PI398401,R.SK
PI398404,R.SK
PI398405,R.SK
PI398408,R.SK
PI398412,R.SK
PI398414,R.SK
PI398415,R.SK
PI398416,R.SK
PI398419,R.SK
PI398421,R.SK
PI398425,R.SK
PI398426,R.SK
PI398429,R.SK
PI398430,R.SK
PI398431,R.SK
PI398440,R.SK
PI398441,R.SK
PI398442,R.SK
PI398443,R.SK
PI398444,R.SK
PI398446,R.SK
PI398450,R.SK
PI398463,R.SK
