taxa,ISW
PI424386B,-0.1528
PI424387,-0.02351
PI424388,-0.02511
PI424395,-0.03425
PI424396,0.15
PI424397,-0.1701
PI424399,-0.09326
PI424401,-0.04479
PI424402A,-0.05752
PI424403,0.04606
PI424405A,-0.1005
PI424405C,0.03948
PI424411,0.05497
PI424412,-0.01227
PI424424,0.009876
PI424425,0.3464
PI424426,-0.2434
PI424427,-0.1458
PI424428,-0.1314
PI424431,-0.2708
PI424432,-0.3354
PI424436,-0.00536
PI424443,-0.2523
PI424444B,-0.09786
PI424444C,0.05803
PI424449,-0.03132
PI424452,-0.3089
PI424459,0.3201
PI424462B,0.06173
PI424462C,0.000473
PI424465,-0.1064
PI424466,-0.05013
PI424467,-0.0411
PI424468,-0.07801
PI424469,0.03272
PI424470,0.04537
PI424471,0.04191
PI424472A,0.2153
PI424472B,0.05429
PI424476,-0.1005
PI424481A,0.01275
PI424483,-0.01348
PI424484A,-0.04609
PI424484B,-0.0734
PI424485,-0.02395
PI424486,-0.09655
PI424487A,0.1113
PI424487B,-0.02906
PI424488A,-0.224
PI424488B,-0.1271
PI424490,-0.06449
PI424491A,-0.1568
PI424492,0.4214
PI424494,0.1644
PI424495,0.1396
PI424497,0.0545
PI424500,-0.0112
PI424505,0.07516
PI424506,-0.1076
PI424511,0.03215
PI424512,-0.161
PI424513,0.1428
PI424516,0.1559
PI424521A,0.349
PI424522,-0.3195
PI424524,0.06826
PI424528,0.03615
PI424537,0.06167
PI424538,0.008547
PI424539,-0.118
PI424540,0.0185
PI424541,0.14
PI424545,0.08327
PI424546A,-0.00296
PI424546B,0.08055
PI424548,-0.03253
PI424550,-0.06159
PI424552,0.3839
PI424554,-0.1446
PI424556,-0.02585
PI424558A,0.002756
PI424563,0.01898
PI424565,0.1399
PI424566,0.1439
PI424567,-0.1032
PI424568,0.1489
PI424569A,0.3243
PI424569B,-0.1378
PI424570,0.02861
PI424571,-0.00029
PI424572,0.01068
PI424573,-0.05066
PI424579,-0.141
PI424580,-0.07762
PI424584,0.09727
PI424587,0.000073
PI424590A,-0.1102
PI424590B,-0.05052
PI424597,0.06188
PI424600,-0.07535
PI424605A,0.1649
PI424608A,-0.3126
PI424608B,-0.1837
PI424610,-0.01325
PI424611A,-0.1437
