taxa,ISW
PI592936,-0.567720107
PI595363,-0.156220107
PI603205,0.158791738
PI612738,-0.303208262
PI615554,-0.16295584
PI632426,0.225875802
PI632427,0.133279893
PI632963,0.354580038
PI634761,-0.188124198
PI634903,0.325363957
PI634906,0.023779893
PI81031-1,-0.600155696
PI81763,-1.376208262
PI85420,0.260791738
PI88816,-0.074335899
PI90570,-0.178835899
PI91731,-0.68495584
PI93055,0.018791738
PI84946-1,-0.003835899
PI87059,-1.277335899
PI89783,-1.261208262
PI82218,0.985556005
PI82315,0.638556005
PI82555,0.463556005
PI83891,0.798580038
PI83946,0.442580038
PI85559,0.090664101
PI84742,-1.203624198
PI85550,0.370344304
PI85590,0.565056005
PI85630,-0.269720107
PI86978,0.240791738
PI97066,0.025875802
PI81774,0.513080038
PI83944,-0.046655696
PI85355,0.979291738
PI85424,-0.240124198
PI85469,0.378664101
PI86740,0.124875802
PI90573,-0.029624198
PI95960,0.762164101
PI97161,0.090664101
PI70467,-0.689124198
